1,07/28/2024,Food for dinner,Trader Joe's,39.5,Grocery
2,07/29/2024,Food for lunch,Safeway,12.5,Grocery
3,07/30/2024,Food for marks house,Trader Joe's,11.22,Grocery
4,07/31/2024,First half rent,Landlord,975,Rent
5,08/01/2024,To the car,Ally Auto,225.35,CarPayment
6,08/02/2024,Extra shopping,Amazon,44.56,Shopping
7,08/03/2024,Electric bill,PG&E,157.44,Electricity
8,08/04/2024,gift for jimm,Target,55.12,Shopping
9,08/05/2024,first half of internet,ATT,25,Internet
10,08/06/2024,Gas fill up,Shell,45.67,Gas
11,08/07/2024,Grocercies for the week,Costco,75.25,Grocery
12,08/08/2024,Second half of rent,Landlord,975,Rent
13,08/09/2024,Second half of Internet,ATT,35,Internet
14,08/10/2024,Gas fill up,Safeway Gas,34,Gas
15,08/11/2024,Toiletries,Walmart,22,Grocery
16,08/12/2024,Gas fill up,Shell,40,Gas
17,08/13/2024,Shopping for miles,Amazon,44.22,Shopping
18,08/14/2024,Sweet Treats,Coldstone,10.11,Shopping
19,08/15/2024,Grocercies for the week,Costco,66.33,Grocery
20,08/16/2024,Gas fill up after the drive,,25.11,Gas